BoxID,SongID,recorded_on,released_on,old_or_new,created_with,language,genre,purpose,status,smasterpiece,article_title,song_title,video_song,artist,original_song,wma_url,song_url,MP3_name,critics_review,diary_text,poster_url,TrackNumber,RadioID,RadioName,soffset,snxtoffset,sduration,stars,real_url,karaoke_url,version_of_song,hide_if_not_on_radio
,1835,July 2025,,NEW,4,Spanish,Salsa,,0,False,Flor P&#225;lida (con Vanessa),Flor P&#225;lida,,Marc Anthony,,,~/best_of_latincita/Vlaardingen%20Strand%20-%20July%202025.mp3,,,,~/Images/Mobile/Vlaardingen%20Strand%20-%20July%202025%20-%20Audio-P.jpg,15,526,Los Elegantes Caribe&#241;os - Vlaardingen Strand,3468,3749,281,0,,,Live,0
,1837,July 2025,,NEW,4,Spanish,Bachata,,0,False,Tell me Why (con Ruben),Tell Me Why,,Aventura,,,~/best_of_latincita/Vlaardingen%20Strand%20-%20July%202025.mp3,,,,~/Images/Mobile/Vlaardingen%20Strand%20-%20July%202025%20-%20Audio-P.jpg,17,526,Los Elegantes Caribe&#241;os - Vlaardingen Strand,3985,4197,212,0,,,Live,0
,1838,July 2025,,NEW,4,Spanish,Salsa,,0,False,Chan Chan (con Alina),Chan Chan,,Buena Vista Social Club,,,~/best_of_latincita/Vlaardingen%20Strand%20-%20July%202025.mp3,,,,~/Images/Mobile/Vlaardingen%20Strand%20-%20July%202025%20-%20Audio-P.jpg,18,526,Los Elegantes Caribe&#241;os - Vlaardingen Strand,4197,4512,315,0,,,Live,0
,1839,July 2025,,NEW,4,English,Pop,,0,False,Demasiado Coraz&#243;n (con Danny),Demasiado Coraz&#243;n,,Willy DeVille,,,~/best_of_latincita/Vlaardingen%20Strand%20-%20July%202025.mp3,,,,~/Images/Mobile/Vlaardingen%20Strand%20-%20July%202025%20-%20Audio-P.jpg,19,526,Los Elegantes Caribe&#241;os - Vlaardingen Strand,4512,4725,213,0,,,Live,0
,1840,July 2025,,NEW,4,Spanish,Salsa,,0,False,Bemba Color&#225; (con Alina),Bemba Color&#225;,,Celia Cruz,,,~/best_of_latincita/Vlaardingen%20Strand%20-%20July%202025.mp3,,,,~/Images/Mobile/Vlaardingen%20Strand%20-%20July%202025%20-%20Audio-P.jpg,20,526,Los Elegantes Caribe&#241;os - Vlaardingen Strand,4725,5051,326,0,,,Live,0
,1841,July 2025,,NEW,4,Spanish,Bachata,,0,False,Pegaito (con Vanesssa),Pegaito,,Ruben Alken,,,~/best_of_latincita/Vlaardingen%20Strand%20-%20July%202025.mp3,,,,~/Images/Mobile/Vlaardingen%20Strand%20-%20July%202025%20-%20Audio-P.jpg,21,526,Los Elegantes Caribe&#241;os - Vlaardingen Strand,5051,5273,222,0,,,Live,0
,1844,July 2025,,NEW,4,Spanish,Salsa,,0,False,C&#250;cala (con Alina),C&#250;cala,,Fania All-Stars,,,~/best_of_latincita/Vlaardingen%20Strand%20-%20July%202025.mp3,,,,~/Images/Mobile/Vlaardingen%20Strand%20-%20July%202025%20-%20Audio-P.jpg,24,526,Los Elegantes Caribe&#241;os - Vlaardingen Strand,5511,6044,533,0,,,Live,0
,1846,July 2025,,NEW,4,Spanish,Salsa,,0,False,La vida es un Carnaval (con Alina),La vida es un Carnaval,,Celia Cruz,,,~/best_of_latincita/Vlaardingen%20Strand%20-%20July%202025.mp3,,,,~/Images/Mobile/Vlaardingen%20Strand%20-%20July%202025%20-%20Audio-P.jpg,26,526,Los Elegantes Caribe&#241;os - Vlaardingen Strand,6102,-1,7200,0,,,Live,0
,1797,October 2024,,NEW,4,Spanish,Salsa,,0,True,Rebeli&#243;n (con Latincita),Rebeli&#243;n,,Joe Arroyo,,,~/best_of_latincita/Brandweer%20-%20Oct%2024%20-%20Soundtrack.mp3,,,,~/Images/Mobile/Brandweer%20-%20Oct%2024%20-%20Square-P.jpg,2,523,Los Elegantes Caribe&#241;os - Brandweer Feest,282,603,321,0,,,Live,0
,1800,October 2024,,NEW,4,Spanish,Merengue,,0,True,Nadie se Muere (con Latincita),Nadie se Muere,,La Makina,,,~/best_of_latincita/Brandweer%20-%20Oct%2024%20-%20Soundtrack.mp3,,,,~/Images/Mobile/Brandweer%20-%20Oct%2024%20-%20Square-P.jpg,5,523,Los Elegantes Caribe&#241;os - Brandweer Feest,1195,1423,228,0,,,Live,0
,1806,October 2024,,NEW,4,Spanish,Salsa,,0,True,Llorar&#225;s (con Latincita),Llorar&#225;s,,Oscar D&lt;QUOTE&gt;L&#233;on,,,~/best_of_latincita/Brandweer%20-%20Oct%2024%20-%20Soundtrack.mp3,,,,~/Images/Mobile/Brandweer%20-%20Oct%2024%20-%20Square-P.jpg,11,523,Los Elegantes Caribe&#241;os - Brandweer Feest,2870,3080,210,0,,,Live,0
,1813,October 2024,,NEW,4,Spanish,,,0,True,Oye&lt;COMMA&gt; Abre Tus Ojos (con Latincita),Oye&lt;COMMA&gt; Abre Tus Ojos,,Wilfrido Vargas,,,~/best_of_latincita/Brandweer%20-%20Oct%2024%20-%20Soundtrack.mp3,,,,~/Images/Mobile/Brandweer%20-%20Oct%2024%20-%20Square-P.jpg,18,523,Los Elegantes Caribe&#241;os - Brandweer Feest,4656,4853,197,0,,,Live,0
,1817,October 2024,,NEW,4,Spanish,Merengue,,0,True,Abusadora (con Latincita),Abusadora,,Wilfrido Vargas,,,~/best_of_latincita/Brandweer%20-%20Oct%2024%20-%20Soundtrack.mp3,,,,~/Images/Mobile/Brandweer%20-%20Oct%2024%20-%20Square-P.jpg,22,523,Los Elegantes Caribe&#241;os - Brandweer Feest,5657,5937,280,0,,,Live,0
,1796,October 2024,,NEW,4,Spanish,Salsa,,0,False,Cogele el Gusto,Cogele el Gusto,,Wayne Gorbea,,,~/best_of_latincita/Brandweer%20-%20Oct%2024%20-%20Soundtrack.mp3,,,,~/Images/Mobile/Brandweer%20-%20Oct%2024%20-%20Square-P.jpg,1,523,Los Elegantes Caribe&#241;os - Brandweer Feest,1,282,281,0,,,Live,0
,1798,October 2024,,NEW,4,Spanish,Salsa,,0,False,Idilio (con Alina),Idilio,,Willie Col&#243;n,,,~/best_of_latincita/Brandweer%20-%20Oct%2024%20-%20Soundtrack.mp3,,,,~/Images/Mobile/Brandweer%20-%20Oct%2024%20-%20Square-P.jpg,3,523,Los Elegantes Caribe&#241;os - Brandweer Feest,603,934,331,0,,,Live,0
,1799,October 2024,,NEW,4,Spanish,Salsa,,0,False,Vivir mi Vida (con Vanessa),Vivir mi Vida,,Marc Anthony,,,~/best_of_latincita/Brandweer%20-%20Oct%2024%20-%20Soundtrack.mp3,,,,~/Images/Mobile/Brandweer%20-%20Oct%2024%20-%20Square-P.jpg,4,523,Los Elegantes Caribe&#241;os - Brandweer Feest,934,1195,261,0,,,Live,0
,1801,October 2024,,NEW,4,English,Pop,,0,False,Demasiado Coraz&#243;n (con Danny),Demasiado Coraz&#243;n,,Willy DeVille,,,~/best_of_latincita/Brandweer%20-%20Oct%2024%20-%20Soundtrack.mp3,,,,~/Images/Mobile/Brandweer%20-%20Oct%2024%20-%20Square-P.jpg,6,523,Los Elegantes Caribe&#241;os - Brandweer Feest,1423,1670,247,0,,,Live,0
,1802,October 2024,,NEW,4,Spanish,Salsa,,0,False,Quimbara (con Alina),Quimbara,,Celia Cruz,,,~/best_of_latincita/Brandweer%20-%20Oct%2024%20-%20Soundtrack.mp3,,,,~/Images/Mobile/Brandweer%20-%20Oct%2024%20-%20Square-P.jpg,7,523,Los Elegantes Caribe&#241;os - Brandweer Feest,1670,1979,309,0,,,Live,0
,1803,October 2024,,NEW,4,Spanish,Zouk,,0,False,Ole Ole Ohlala (con Ruben),Ole Ole Ohlala,,??,,,~/best_of_latincita/Brandweer%20-%20Oct%2024%20-%20Soundtrack.mp3,,,,~/Images/Mobile/Brandweer%20-%20Oct%2024%20-%20Square-P.jpg,8,523,Los Elegantes Caribe&#241;os - Brandweer Feest,1979,2235,256,0,,,Live,0
,1804,October 2024,,NEW,4,Spanish,Salsa,,0,False,El cuarto de Tula (con Alina),El cuarto de Tula,,Buena Vista Social Club,,,~/best_of_latincita/Brandweer%20-%20Oct%2024%20-%20Soundtrack.mp3,,,,~/Images/Mobile/Brandweer%20-%20Oct%2024%20-%20Square-P.jpg,9,523,Los Elegantes Caribe&#241;os - Brandweer Feest,2235,2643,408,0,,,Live,0
,1805,October 2024,,NEW,4,Spanish,Bachata,,0,False,Stand by Me (con Vanessa),Stand by Me,,Ben E. King,,,~/best_of_latincita/Brandweer%20-%20Oct%2024%20-%20Soundtrack.mp3,,,,~/Images/Mobile/Brandweer%20-%20Oct%2024%20-%20Square-P.jpg,10,523,Los Elegantes Caribe&#241;os - Brandweer Feest,2643,2870,227,0,,,Live,0
,1807,October 2024,,NEW,4,Spanish,Salsa,,0,False,Negra Tomasa (con Alina),Negra Tomasa,,Caifanes,,,~/best_of_latincita/Brandweer%20-%20Oct%2024%20-%20Soundtrack.mp3,,,,~/Images/Mobile/Brandweer%20-%20Oct%2024%20-%20Square-P.jpg,12,523,Los Elegantes Caribe&#241;os - Brandweer Feest,3080,3408,328,0,,,Live,0
,1808,October 2024,,NEW,4,Spanish,Salsa,,0,False,Qu&#237;tate T&#250;,Qu&#237;tate T&#250;,,Fania All-Stars,,,~/best_of_latincita/Brandweer%20-%20Oct%2024%20-%20Soundtrack.mp3,,,,~/Images/Mobile/Brandweer%20-%20Oct%2024%20-%20Square-P.jpg,13,523,Los Elegantes Caribe&#241;os - Brandweer Feest,3408,3904,496,0,,,Live,0
